2025-05-30 16:40:13,993 - INFO - Starting Procify application
2025-05-30 16:40:13,994 - INFO - Initializing ProcessVisualizer
2025-05-30 16:40:14,561 - INFO - Starting process visualization
2025-05-30 16:40:24,232 - INFO - Initial process node created - PID: 13960, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:24,398 - INFO - Initial process node created - PID: 2700, Name: conhost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:24,559 - INFO - Initial process node created - PID: 8332, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:24,680 - INFO - Initial process node created - PID: 15500, Name: AdobeCollabSync.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:24,805 - INFO - Initial process node created - PID: 17036, Name: cmd.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:24,962 - INFO - Initial process node created - PID: 1680, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:25,123 - INFO - Initial process node created - PID: 5776, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:25,241 - INFO - Initial process node created - PID: 14992, Name: Cursor.exe, Memory: 1.2%, CPU: 0.0%
2025-05-30 16:40:25,407 - INFO - Initial process node created - PID: 7316, Name: Dell.TechHub.DataManager.SubAgent.exe, Memory: 0.7%, CPU: 0.0%
2025-05-30 16:40:25,542 - INFO - Initial process node created - PID: 16532, Name: Cursor.exe, Memory: 0.6%, CPU: 0.0%
2025-05-30 16:40:25,697 - INFO - Initial process node created - PID: 664, Name: csrss.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:25,821 - INFO - Initial process node created - PID: 9880, Name: RuntimeBroker.exe, Memory: 0.3%, CPU: 0.0%
2025-05-30 16:40:25,948 - INFO - Initial process node created - PID: 11928, Name: firefox.exe, Memory: 1.0%, CPU: 0.0%
2025-05-30 16:40:26,068 - INFO - Initial process node created - PID: 2204, Name: StartMenuExperienceHost.exe, Memory: 0.6%, CPU: 0.0%
